"id","ability"
1,Chlorophyll
2,Overgrow
3,Solar-power
4,Blaze
5,Rain-dish
6,Torrent
7,Run-away
8,Shield-dust
9,Shed-skin
10,Tinted-lens
11,Compound-eyes
12,Sniper
13,Swarm
14,Big-pecks
15,Tangled-feet
16,Keen-eye
17,Hustle
18,Guts
19,Unnerve
20,Intimidate
21,Lightning-rod
22,Static
23,Sand-rush
24,Sand-veil
25,Rivalry
26,Poison-point
27,Sheer-force
28,Friend-guard
29,Magic-guard
30,Cute-charm
31,Unaware
32,Drought
33,Flash-fire
34,Competitive
35,Frisk
36,Infiltrator
37,Inner-focus
38,Stench
39,Effect-spore
40,Damp
41,Dry-skin
42,Wonder-skin
43,Sand-force
44,Arena-trap
45,Technician
46,Pickup
47,Limber
48,Swift-swim
49,Cloud-nine
50,Defiant
51,Anger-point
52,Vital-spirit
53,Justified
54,Water-absorb
55,Synchronize
56,Steadfast
57,No-guard
58,Gluttony
59,Liquid-ooze
60,Clear-body
61,Sturdy
62,Rock-head
63,Flame-body
64,Regenerator
65,Own-tempo
66,Oblivious
67,Analytic
68,Magnet-pull
69,Early-bird
70,Ice-body
71,Hydration
72,Thick-fat
73,Magic-bounce
74,Poison-touch
75,Sticky-hold
76,Overcoat
77,Skill-link
78,Shell-armor
79,Levitate
80,Cursed-body
81,Weak-armor
82,Forewarn
83,Insomnia
84,Hyper-cutter
85,Aftermath
86,Soundproof
87,Harvest
88,Battle-armor
89,Unburden
90,Reckless
91,Iron-fist
92,Healer
93,Serene-grace
94,Natural-cure
95,Leaf-guard
96,Scrappy
97,Water-veil
98,Illuminate
99,Filter
100,Moxie
101,Mold-breaker
102,Rattled
103,Imposter
104,Anticipation
105,Adaptability
106,Quick-feet
107,Volt-absorb
108,Download
109,Trace
110,Pressure
111,Immunity
112,Snow-cloak
113,Marvel-scale
114,Multiscale
115,Super-luck
116,Plus
117,Sap-sipper
118,Huge-power
119,Drizzle
120,Speed-boost
121,Prankster
122,Telepathy
123,Shadow-tag
124,Light-metal
125,Contrary
126,Pickpocket
127,Honey-gather
128,Magma-armor
129,Moody
130,Suction-cups
131,Sand-stream
132,Poison-heal
133,Truant
134,Wonder-guard
135,Normalize
136,Stall
137,Heavy-metal
138,Pure-power
139,Minus
140,Rough-skin
141,Simple
142,Solid-rock
143,White-smoke
144,Toxic-boost
145,Storm-drain
146,Forecast
147,Protean
148,Color-change
149,Air-lock
150,Flower-gift
151,Flare-boost
152,Klutz
153,Heatproof
154,Snow-warning
155,Motor-drive
156,Slow-start
157,Bad-dreams
158,Multitype
159,Victory-star
