"id","hp","speed","attack","defense","special-attack","special-defense"
1, 45, 45, 49, 49, 65, 65
2, 60, 60, 62, 63, 80, 80
3, 80, 80, 82, 83, 100, 100
4, 39, 65, 52, 43, 60, 50
5, 58, 80, 64, 58, 80, 65
6, 78, 100, 84, 78, 109, 85
7, 44, 43, 48, 65, 50, 64
8, 59, 58, 63, 80, 65, 80
9, 79, 78, 83, 100, 85, 105
10, 45, 45, 30, 35, 20, 20
11, 50, 30, 20, 55, 25, 25
12, 60, 70, 45, 50, 90, 80
13, 40, 50, 35, 30, 20, 20
14, 45, 35, 25, 50, 25, 25
15, 65, 75, 90, 40, 45, 80
16, 40, 56, 45, 40, 35, 35
17, 63, 71, 60, 55, 50, 50
18, 83, 101, 80, 75, 70, 70
19, 30, 72, 56, 35, 25, 35
20, 55, 97, 81, 60, 50, 70
21, 40, 70, 60, 30, 31, 31
22, 65, 100, 90, 65, 61, 61
23, 35, 55, 60, 44, 40, 54
24, 60, 80, 95, 69, 65, 79
25, 35, 90, 55, 40, 50, 50
26, 60, 110, 90, 55, 90, 80
27, 50, 40, 75, 85, 20, 30
28, 75, 65, 100, 110, 45, 55
29, 55, 41, 47, 52, 40, 40
30, 70, 56, 62, 67, 55, 55
31, 90, 76, 92, 87, 75, 85
32, 46, 50, 57, 40, 40, 40
33, 61, 65, 72, 57, 55, 55
34, 81, 85, 102, 77, 85, 75
35, 70, 35, 45, 48, 60, 65
36, 95, 60, 70, 73, 95, 90
37, 38, 65, 41, 40, 50, 65
38, 73, 100, 76, 75, 81, 100
39, 115, 20, 45, 20, 45, 25
40, 140, 45, 70, 45, 85, 50
41, 40, 55, 45, 35, 30, 40
42, 75, 90, 80, 70, 65, 75
43, 45, 30, 50, 55, 75, 65
44, 60, 40, 65, 70, 85, 75
45, 75, 50, 80, 85, 110, 90
46, 35, 25, 70, 55, 45, 55
47, 60, 30, 95, 80, 60, 80
48, 60, 45, 55, 50, 40, 55
49, 70, 90, 65, 60, 90, 75
50, 10, 95, 55, 25, 35, 45
51, 35, 120, 100, 50, 50, 70
52, 40, 90, 45, 35, 40, 40
53, 65, 115, 70, 60, 65, 65
54, 50, 55, 52, 48, 65, 50
55, 80, 85, 82, 78, 95, 80
56, 40, 70, 80, 35, 35, 45
57, 65, 95, 105, 60, 60, 70
58, 55, 60, 70, 45, 70, 50
59, 90, 95, 110, 80, 100, 80
60, 40, 90, 50, 40, 40, 40
61, 65, 90, 65, 65, 50, 50
62, 90, 70, 95, 95, 70, 90
63, 25, 90, 20, 15, 105, 55
64, 40, 105, 35, 30, 120, 70
65, 55, 120, 50, 45, 135, 95
66, 70, 35, 80, 50, 35, 35
67, 80, 45, 100, 70, 50, 60
68, 90, 55, 130, 80, 65, 85
69, 50, 40, 75, 35, 70, 30
70, 65, 55, 90, 50, 85, 45
71, 80, 70, 105, 65, 100, 70
72, 40, 70, 40, 35, 50, 100
73, 80, 100, 70, 65, 80, 120
74, 40, 20, 80, 100, 30, 30
75, 55, 35, 95, 115, 45, 45
76, 80, 45, 120, 130, 55, 65
77, 50, 90, 85, 55, 65, 65
78, 65, 105, 100, 70, 80, 80
79, 90, 15, 65, 65, 40, 40
80, 95, 30, 75, 110, 100, 80
81, 25, 45, 35, 70, 95, 55
82, 50, 70, 60, 95, 120, 70
83, 52, 60, 90, 55, 58, 62
84, 35, 75, 85, 45, 35, 35
85, 60, 110, 110, 70, 60, 60
86, 65, 45, 45, 55, 45, 70
87, 90, 70, 70, 80, 70, 95
88, 65, 110, 65, 60, 130, 95
89, 80, 25, 80, 50, 40, 50
90, 105, 50, 105, 75, 65, 100
91, 30, 40, 65, 100, 45, 25
92, 50, 70, 95, 180, 85, 45
93, 30, 80, 35, 30, 100, 35
94, 45, 95, 50, 45, 115, 55
95, 60, 110, 65, 60, 130, 75
96, 35, 70, 45, 160, 30, 45
97, 60, 42, 48, 45, 43, 90
98, 85, 67, 73, 70, 73, 115
99, 30, 50, 105, 90, 25, 25
100, 55, 75, 130, 115, 50, 50
101, 40, 100, 30, 50, 55, 55
102, 60, 150, 50, 70, 80, 80
103, 60, 40, 40, 80, 60, 45
104, 95, 55, 95, 85, 125, 75
105, 50, 35, 50, 95, 40, 50
106, 60, 45, 80, 110, 50, 80
107, 50, 87, 120, 53, 35, 110
108, 50, 76, 105, 79, 35, 110
109, 90, 30, 55, 75, 60, 75
110, 40, 35, 65, 95, 60, 45
111, 65, 60, 90, 120, 85, 70
112, 80, 25, 85, 95, 30, 30
113, 105, 40, 130, 120, 45, 45
114, 250, 50, 5, 5, 35, 105
115, 65, 60, 55, 115, 100, 40
116, 105, 90, 95, 80, 40, 80
117, 30, 60, 40, 70, 70, 25
118, 55, 85, 65, 95, 95, 45
119, 45, 63, 67, 60, 35, 50
120, 80, 68, 92, 65, 65, 80
121, 30, 85, 45, 55, 70, 55
122, 60, 115, 75, 85, 100, 85
123, 40, 90, 45, 65, 100, 120
124, 70, 105, 110, 80, 55, 80
125, 65, 95, 50, 35, 115, 95
126, 65, 105, 83, 57, 95, 85
127, 65, 93, 95, 57, 100, 85
128, 65, 85, 125, 100, 55, 70
129, 75, 110, 100, 95, 40, 70
130, 20, 80, 10, 55, 15, 20
131, 95, 81, 125, 79, 60, 100
132, 130, 60, 85, 80, 85, 95
133, 48, 48, 48, 48, 48, 48
134, 55, 55, 55, 50, 45, 65
135, 130, 65, 65, 60, 110, 95
136, 65, 130, 65, 60, 110, 95
137, 65, 65, 130, 60, 95, 110
138, 65, 40, 60, 70, 85, 75
139, 35, 35, 40, 100, 90, 55
140, 70, 55, 60, 125, 115, 70
141, 30, 55, 80, 90, 55, 45
142, 60, 80, 115, 105, 65, 70
143, 80, 130, 105, 65, 60, 75
144, 160, 30, 110, 65, 65, 110
145, 90, 85, 85, 100, 95, 125
146, 90, 100, 90, 85, 125, 90
147, 90, 90, 100, 90, 125, 85
148, 41, 50, 64, 45, 50, 50
149, 61, 70, 84, 65, 70, 70
150, 91, 80, 134, 95, 100, 100
151, 106, 130, 110, 90, 154, 90
152, 100, 100, 100, 100, 100, 100
153, 45, 45, 49, 65, 49, 65
154, 60, 60, 62, 80, 63, 80
155, 80, 80, 82, 100, 83, 100
156, 39, 65, 52, 43, 60, 50
157, 58, 80, 64, 58, 80, 65
158, 78, 100, 84, 78, 109, 85
159, 50, 43, 65, 64, 44, 48
160, 65, 58, 80, 80, 59, 63
161, 85, 78, 105, 100, 79, 83
162, 35, 20, 46, 34, 35, 45
163, 85, 90, 76, 64, 45, 55
164, 60, 50, 30, 30, 36, 56
165, 100, 70, 50, 50, 86, 96
166, 40, 55, 20, 30, 40, 80
167, 55, 85, 35, 50, 55, 110
168, 40, 30, 60, 40, 40, 40
169, 70, 40, 90, 70, 60, 70
170, 85, 130, 90, 80, 70, 80
171, 75, 67, 38, 38, 56, 56
172, 125, 67, 58, 58, 76, 76
173, 20, 60, 40, 15, 35, 35
174, 50, 15, 25, 28, 45, 55
175, 90, 15, 30, 15, 40, 20
176, 35, 20, 20, 65, 40, 65
